,senti,sentence
10,0,  i went for a test drive in a   excursion with the eddie bauer trim package with a friend who is looking to buy an suv pretty soon   i ve always owned coupes and just one sedan in my lifetime   so this was very different for me   when i got behind the wheel so he cound ride in the back and check it out   i has a mix of feelings   i did feel like i was in tank or something because i was ridding high and felt the sheer magnitude of the truck as being something that was confidence inspiring   however   i didn t feel like i ws in control of the vehicle   stoppng disances were super long and if something or someone happen to dart out in front of the truck   there was no way to safely swerve and aviod a most likely fatal collion with the victim   the truck rides nicely for it s size   the feel is very firm considering how large it is   the interior was done very nicely in leather trim   but i didn t at all like how it s simply kind of a dressed up super duty truck interior   if you re paying over k for this thing   you deserve a little more exclusivisity   the exterior styling is very nice rough and rugged   the taillings are a little too similar to the econoline vans   but that s okay i suppose   my friend lives in a rural area and is involved in shipping large equipment on trailers   so it s the right kind of truck for him   however   i think people that simply buy this thing to use as a status symbol are pretty shallow and basically stupid   i don t see the logic is sayign you ve got the biggest and baddest truck out there when you have to pay over    to fill er up and use it to do things like go to the mall and take drive to work in alone while burning gasoline galore in gridlock   i d imagine parking this thing is a nightmare in tight urban spaces a parallel park might require one of those guys at the airport that guide the planes in with lighted torches   this vehicle also inspires a sense of false security and superiority in the event of a collision   people just simply think   quot if i crash   the other guy will die haha quot that might be true   but you ll pay later aside from the legal consequences   depending on if it was your fault you will have to live with the fact that because of the vehicle choice you made   you may have cripple   injured   or possibly even killed someone out there   the thing that s most frightening about this truck is that people who buy it in the city tend to be the type that chat away on cell phones all of the time that habit combined with the desructive potential of this thing can and will lead to many tragedies   you d think that the problem of teh wrong type of buyer getting this thing would be solved by the high gasoline prices   but that doesn t seem to be the case perhaps if we see prices over     per gallon   bottom line   made a good truck here   but it can t play big brother to control who buys people really need to become aware of the fact that suv s do have dangers associted with them   i e   rollovers are more common   and make better choices   in the hands of the right buyer this truck is great     
11,0,   this segment added later it appears as though is finally coming to terms on its suv line   they admitted that their suv s were not as safe and environmentally friendly as they should be and will take steps to make them safer for the occupants   other drivers and the environment   another interesting twist   just this week decided to reduce production of excursion by    that is not a small percentage   i saw this happening long ago   this is the first step in dropping the line all together   any guesses on the value of the excursion you just bought when that happens   maybe william jr read my epinion and decided to take action all i know is there is one more to add to my do not buy stock list the purpose of epinions is to post an opinion that may help someone make or not make a purchase   i hope my opinion will prevent someone from purchasing an excursion   i don t own one   and wouldn t   i m not sure if i d even test drive one   i haven t yet anyway   this shouldn t detract from my view however   for example one need not be a cuban or cuban american to have an opinion on elian and whether he should go home or stay here   opinions are after all one sided   some will agree with me   some will not   personally   i take the stand of i really don t care if you buy an excursion or not   but if you do buy one take responsibility for what may happen high gas prices   tough   kill or injure someone in an accident   gt   go to jail   do not pass go   do not collect     shouldn t have built it in the first place   the managers at should have looked a little further than   quot today quot   to analyze buying trends   especially ones set by texans   we as a group are statistically not the smartest of the bunch   i just live here   was born in indiana   traditionally   all new trucks are tested and marketed in texas first   instead of building the biggest on the block   they could have made a different statement   has done this many times and always looses their shorts on it   to this end they should have realized that fuel prices couldn t be cheap forever   infact it should be at least     a gallon anyway   we ve been spoiled by cheap gas that the automakers don t market fuel efficient vehicles here   but yet you can buy several cars that get    mpg in europe   even the suburban   which is still not great   claims to get   mpg on the highway much higher than the estimates of around    the dealers tell of   in the dallas fort worth area   dealers are offering more than    off on them   which means that they aren t selling them   within   years i don t think the excursion will be built any longer   excursions don t have to post gas mileage at all   they don t have to even conform with epa regulations   and by stating that is it a lev   low emission vehicle   must be a comparison to a coal burning power plant   there is no way you can burn so much fuel and produce as much pollution as a honda   come on the excursion s gas mileage doesn t even bother me that much   heck   not too long ago   i owned a   cadillac hearse   yes it had dead people in it at one time   it only got   miles per gallon   i not once complained about it   what irritates me is the people whining about fuel prices who do drive these vehicles   when ever there is something on the news about gas prices there is always someone griping but has a big ole truck my big issue is the safety issue   clearly these trucks are dangerous to other cars   the automakers just last month publicly recognized this fact and are making steps to prevent deaths   why couldn t they have done this earlier   i could care less if a stupid person kills them self   in any vehicle   but when they kill someone else that really bothers me   especially so when they purchase a vehicle that they are not capable of driving unfortunately this is many times   quot soccer moms quot   they want a sense of security and safety   they have an excursion full of arguing kids   they have an added distraction of a cell phone and other stuff   yes   they are completely safe to its occupants   but what about the guy in the miata she just plowed through   any vehicle which has to have a bar put under the front and rear bumpers to keep it from   quot monster trucking quot   over smaller cars is inherently not safe to others   no matter what you do one good thing i saw was that there was a guy in california that was charged and convicted of manslaughter for killing someone in an accident because he had a big suv and a phone and went through a red light and killed someone   finally a jury that did the right thing br br  
12,0,  suv s   sob s and pms great what a deadly combination   now the old mad woman on the cell phone has something larger to hit her target w   i can t eescribe how angry i am w   these tanks going down the road just waiting to slam into my   off show truck   i wanted to see what this was all about so i test drove one   there wasn t one blind spot there were five   i just can t see how anyone would want to drive one of these   i feel that if you are going to spend     on something why not buy some thing stylish and comfortable   i mean come on cadillac offers night vision now how cool is that br br  
13,0,  hey everybody   i don t own this car   i haven t ever driven this car   but i do have opinions about it   and i might as well share them my car is a saturn sl   go read my review   a car that is constantly subjected to being blinded at night by suvs and trucks coming up behind us   this is an annoying problem   maybe one that saturn should address   but still something of a concern   and i love trucks   i wanted a truck   before i got my car   and maybe someday i ll get one anyway   i m not in any way implying that there s any reason not to make trucks but the excursion   named big truck by some of my friends   is simply too big   if you live where i live   you just don t need this vehicle   most likely   and you re endangering all of us by just driving it   i d like to know why half of the parents in my town bought their excursions   whether it was for safety   or trendiness   or because minivans just aren t cool anymore   i d like to start a discussion about these mammoth suvs so that they don t just keep getting bigger and bigger   so that eventually cars and trucks can be of compatible sizes and not create major problems for each other just by sharing a road the excursion is intimidating   and maybe that s what s appealing to some people   if one is near me on the highway   i want to get away from it   i do not believe they can see me   in my smaller car   and i don t want to get crushed   i ll do whatever i can to avoid an excursion   and i m no meek flower of a driver   these cars are apt to roll over   can t stop quickly   and the blind spots are tremendous i have seen the most amazing sights concerning the excursion   one day i was in a parkinglot behind one   and i sat mezermerized as big truck tried to fit into a rather wide space   it took more than seven adjustments   back out   pull in   back out   for big truck to park crookedly   and there was absolutely no room for me to squeeze by   then   another day   in another parking lot   i saw a ten year old kid try to hop up into the passenger s side of the truck   he missed the seat and fell right onto the ground   i don t doubt that this happens all the time   i had a hard time not thinking about my tiny grandmother trying to get into this tremendous truck   a simple footstool   like the one she uses to get into our plymouth voyager   wouldn t be enough to even reach the excursion s step   big truck is much too big please   excursion lovers   don t hunt me down to run me over with your truck   i m not trying to take away anyone s fun or anyone s vehicle   i just wish that people would think a lot harder before buying into the excursion club   the power is appealing   the size is apalling   buying this truck makes you responsible for driving in a whole new way   if you need an excursion   surely   go buy one   if you have to cart around ten people and a boat and luggage and some furniture all at once   by all means   get this truck   but please   keep in mind that not everyone on the road is in a big truck and that we have rights as well   just don t buy this truck without a lot of heavy thought  
14,0,  i bought this vehicle to have a safe vehicle to transport my three young children on the california freeways my excursion is a   wheel drive v   i have had two major problems with this vehicle    the back end of the vehicle bounces from side to side whenever driving over a drain or small pothole in the road   i nearly lost control of the car driving on the   freeway at mph   has test driven the vehicle   acknowledged the problem and has refused to take the vehicle back   i think it is because they are nervous about receiving all of their vehicles back   any   wheel drivers experiencing the same problem a test driver from the dispute settlement board has driven the vehicle and another   quot like vehicle quot   and found the same problem   i am hoping that the board rules that take the excursion back    all california excursions have a   quot flutter noise quot   that sounds like five holes in the exhaust   this information is in the auto s   quot technical service bulletin quot   available at the dealer of purchase   is aware of this problem and has no answer for it the dealer has informed us that this car really maintains control only when it is filled to capacity with adults and is towing a heavy load   they recommend lowering the tire pressure to below recommended levels   we have had and been extremely satisfied with the lynx   sable   explorer   bronco and expedition   i would not at all recommend the excursion to anyone br br  
15,0,  so it is the new fad for mothers to drive   expeditions   suburbans   land cruisers and now excursions ok maybe it is nt a new fad   the   quot death trap quot   excursion is exactly how it sounds   it is a monster but is it really worth the extra   quot room quot   this thing is an incredible undertaking to drive   you must be constantly aware of everything around you   the truck barely fits within its allotted space   on the right side of the road   built off of the frame of the f   truck   the excursion has not particularly crash tested well either   i test drove one of these while helping a friend s family pick out a car   i must say that i can not recommend it   no pickup   not that any is needed   and terrible turning radius   the extra insecurities are simply not worth its size   whatever happened to the mini van   it s roomier   more comfortable   and more efficient   but it just does nt seem to be in style anymore   until then i believe every   quot soccer quot   mom feels its necessary to have a wd expedition   suburban   or excursion   when driving the excursion you will not be worried about your own safety   but those around you instead   make sure you can handle the ridiculous size before you join in on the large suv fad oh yeah and good luck finding a parking spot br br  
16,0,  now i m no granola munchin   hippie but this beast of a car is a hazard to the environment and everyone else on the road   while it may be roomy   can easily fit   people   this means that the suv must weigh   tons   the vehicle is over   feet tall and wider than most parking spaces   all of this excess means one thing   if you are involved in a accident with one of these you will probably be killed    it s like going up against a monster truck   don t let fool you either   these cars   suv s in general   do not have any emissions standards so basically these things pollute as much a big rig   with the surge in the popularity of these things that means that the earth is becoming polluted at an even more alarming rate   so maybe the environment or the hazards to everyone else don t phase you   you have your mind set on one of these babies   just check out the price and the gas mileage these things get   if you live in ct like me then the price of gas alone equals the price of the car in a few years if you drive at least   miles a day   all of these things means that this excess room is just costing everyone else including the owner   if it s room you want then get an rv or a van   just not a stupid   ugly suv br br  
17,0,  i am going to start this off by telling you that i hate big cars   they guzzle gas like nobody s business   this one is in the   mpg range   they are a danger to anyone not in them on the road   and   despite their ludicrous size   they never have any room for their passengers   s new excursion is the worst of them all   this monstrosity is like something out of a horror film   when i see it on the road i expect it to start roaring and try to run me over   seriously though   i feel like there is a genuine risk to my life when i am driving near an excursion   and they are a horrible risk to the environment as well br br  
18,0,   drive these cars i don t care how many damn children you have   or how many boats you tow daily   this not a   necessary   car for anyone these trucks are eyesores and harmful to the environment   i m so far from an being eco terrorist   but these machines are inefficient   gas guzzlers that make the air nasty to breathe   bigger   better   deadlier   these are not safe cars   the momentum that a truck of this size has will give a whole new meaning to   whiplash   indeed these are long   too   long and tall   dangerous   because regular cars can t see the road ahead of them   and even worse that people have no idea how to handle these things   why are these machines classified as class   b   vehicles   like yugos   volvos or fiats the only thing that makes me madder than the cars are the morons who feel the need to drive them   soccer moms have traded their piece of cak mini vans   which i m actually starting to miss sharing the road with   compared to these suvs   explorer owners trade in for the expedition and the excursion   it s an endless cycle of mechanical penis envy   yuppie materialism   and blind faith in   safety excuse me   i ve got to go   i ve got gastanks to urinate into    where s my stepladder  
19,0,  our big search for a larger vehicle started when i found out i was expecting another child   at the time   i was driving an old volkswagon bug and i had two children already   we looked at quite a few brands   the only one i didn t feel comfortable with was s   i had heard a lot of negative feedback on those cars   when we saw the aerostar on the lot   my husband wanted it right then   it was clean and comfortable with a sporty look   i wanted to look a little more   i researched it online to make sure we were getting a good deal   we had looked at   drove   and researched over a dozen before thinking about narrowing down our options   when the dealer lowered his price to what i felt was an awesome deal   we decided to buy it   for not wanting a to begin with   i would have to say that this vehicle has been one of the best we have owned   it is very dependable and comfortable   the air conditioning and heating works well   it even has a windshield wiper on the back window   that is something i never had on any of my previous vehicles   the engine works wonderful   not a squeak or grind anywhere   though it is compacted into a small place   i am sure it wouldn t be that hard to fix if something did go wrong   i don t know much about the specifics of the engine   but it will change from car to car   so the specifics aren t as important here as the quality   recently   we took out the back seat and went shopping for a very large toolbox for my husband s work   i couldn t believe we fit it in there with one of the back seats still in   i guess we don t need a truck after all updated     my mind definitely changed within the   months we have owned this vehicle   within a month   the door started having trouble closing   in about a month after that   the screws started falling out of the door and the panel was loose   the latch to close the door started sticking also about a month ago   the front passenger door has some problems also   the panel started falling out there as well   though i have a lot of children   we do no more wear and tear on this vehicle than a mini van should be able to stand up to since it is made to carry children   i don t feel we are overly hard on it   yet   the van keeps falling apart at an unbelievable pace   i will stick with my gut instincts next time and stay away from vehicles br br  
20,0,  we bought a   van used in    we fell in love with the beautiful conversion package   it was very unique   we received many   many complements and offers of purchase over the past few years   but our problems began within two weeks of purchase   the abs system went out so we took it to be repaired and within the next two months it was out again   so to the shop it went   it was repaired again and lasted until the end of    in   the abs system went   the rear end started going out   the air bag went out   and the transmission was slipping   this van was babied the whole time we had it   so we do not understand why all the problems   we knew people with older vans who had    plus miles and not a bit of trouble   ours finally had hit    and was going out of commission   we have now traded our for a mercury villager and absolutely love it   the was nice for show   but that was about it   i will miss it   but now i don t have to fight the wind   put up with a slipping transmission   or worry about my airbags deploying when needed br br  
21,0,  we bought a   extended cab x because of its low price   and granted   it s a smooth ride   an attractive vehicle and the engine has started even on the coldest of mornings   but we live in the mountains and a four wheel drive vehicle is a must   after just two years   the hubs on our went out and cost us over    in repairs   the mechanic told us that is notorious for these hub problems   a result of poor engineering of their shift on the fly x mechanism if you can live without a four wheel drive   then the low cost factor of the may outweigh this consideration   but if you re into off roading or just need to plow through winter snows   don t buy the x br br  
22,0,  for generations the men in my family have insisted on purchasing trucks   and usually buy the f   series   sometimes the trucks where loaded with extras   but most of the time they bought just a plain unusual pickup truck with standard transmission   power brakes and power steering   and what they thought to be   a good solid engine and transmission true enough   when first purchased   these trucks looked great and were great to drive   the exterior was flawless   shiny   eye appealing   and had lots of showoff value   the performance during the first year of use was near perfect   and   of course   the owner was very proud to show off that new truck to his fellow hunters   fishermen   farmers   and offered everyone and their brother free rides but now   time has passed   and several years down the road and   lt    miles later   their tune has changed drastically   all the trucks have lost their luster   the paint is peeling off   numerous rust spots all over the cabs   roofs   and around the wheel covers   and the owners are frustrated and certainly don t have the money to have a new paint job   the standard transmissions all are failing miserably and the truck is often in the shop being repaired   the universal joints are going out   wrecking havoc in the life of the offshore worker who must be at work on time or face loosing a week s paycheck   but the most common problem that has appeared in every truck that they have own is the sudden stalling out in traffic   push the gas pedal and the truck just stalls out and dies   rather than go forward   the trucks can never be trusted to go into first gear and leap forward with any amount of speed safely my advice is to talk with long time truck owners and way the pros and cons heavily before buying a truck that you expect to perform for many years to come br br  
23,0,  i thought it was odd that the front and back brakes as well as the rotors all went out before hitting k miles   also   we had to call the ceo of our local dealer because their service center said that the factory warranty wouldn t cover the cost   the repair bill was     but the ceo saw it our way after much arguing   and we didn t have to pay it   i guess they didn t like us too much   because when we picked up the truck   there was bird poop all over the inside of the truck   and it had a flat tire   we owned a   f   offroad prior to this one   and like this truck   the window mechanism on the passenger side tends to go out early on   this truck has been in the shop   or   times since we ve had it   not quite   year old   just the deal with the brakes sucked   the radiator had to be replaced at k miles   and the transmission was leaking fluid like crazy too   it is a comfy truck with a lot of room   looks good   but the reason i won t buy another is simply because of the service   the crappy way we were treated     
24,0,  i was driving a   honda crx that was about to die   and needed something quickly   so i hit a dealer specializing in used police cars   figuring i d get something inexpensive and interesting   i picked up a   police package   formerly owned by the connecticut state police   since the car was only going to be driven a few hundred miles a week   price was the main concern when the car was running   it was a lot of fun   good acceleration   lots of   quot luxury quot   features that the honda didn t have   and interesting responses from other drivers   unfortunately   the bad outweighed the good the police package was the only crown vic in   with a carburetor   not only was it a carburetor   but an engineering nightmare known as a variable venturi   the one i had was going bad   the local dealer wouldn t touch it   saying that the best that they could do was replace it   at a cost of     i did manage to find a mechanic who specialized in them and only charged    to rebuild the one i had   eventually   all of the major systems on the car were replaced   one at a time   just to keep the car operating when it was running   the handling wasn t particularly good   the breaking was poor   and the ride was soft   i can t even imagine what a standard crown vic would drive like   the acceleration was awesome   but at less then   miles per gallon   stepping on the gas was an expensive proposition if you re looking for an inexpensive luxury car   don t stop off at the local used police car salesman   the sticker price isn t even close to what it will cost in the end br br  
