,senti,sentence
37,1,jilive danielpink sells   million s units in first weekend   steve jobs brilliance lives on for ever rva
38,1,bkad than apologize to
39,1,downloads of   are proving popular with users    httptconshlfiux
40,1,lmfao look at the argument i had with ijustine httptcodvjlsi
41,1,incredible   million ss in   days   better than the   httptcofmjxtmm iphones
42,1,save me from hps unwanted os help me buy an i have seen the light lol httptcogupacz backchannel
43,1,well fixed my battery drain problem with a replacement    its working like a champ now
44,1,currently ordering a brand new pro bahhh my is   years old ill miss it but its time cc
45,1,you are so blessed
46,1,now knows who my dad mom brother and girlfriend is   thanks
47,1,well at least the store has amazing call waiting music needs
48,1,sweet replaced my glass probono thank you
49,1,not bad sells over   million iphones in debut weekend   bloomberg httptcoavslygu   smartphone sm rt vinodrad
50,1,loving new technology from s mac air and icloud are unreal technology
51,1,i m loving this new update  
52,1,another mention for store httptcofiioapkt   rt floridamike once again getting great customer service from the store
53,1,time to go get my s   looking forward to sticking it to the man by no longer paying for most texts   thanks
54,1,hey i hate my computer i need a mack wanna send me a free one
55,1,thank you my new gfiphones is great   she does everything
56,1,icloud set up was flawless and works like a champ to the cloud
57,1,wisconsinmommy i d totally email the company i always get great service at our store
58,1,loving the new upgrade for the
59,1,the nice tech support guy fixed my itouch d
60,1,once again getting great customer service from the store at millenia mall
61,1,is it just me or is faster for the ipad
62,1,i love our imac even though i havent seen my hubby in   days now geek
63,1,making the switch from android to iphones smartphone stevejobs   store httptcokjpjvkh
64,1,so thankful for the incredible people for going above and beyond and offering to and replacing my   waterdamaged pro wow
65,1,play on ma man loving the camera in the iphones well done   fb httptcotmdfqre
66,1,so yeah readinglists have changed my life nowicanspendevenmoretimeonmyphone
67,1,safari reader owns the worldwide web
68,1,i love service   my case has cracked x and i go in and they hand me a case and i walk out
69,1,twitterpeopleiwouldliketomeet coollike thegadgetshow   thelittleappkid jonlakers benrubery twitter fxhomehitfilm  
70,1,said to have laid out the next   years applejobs last is   not the iphones iphoneg   is magical httptcodxxklubp
71,1,kind of excited on my way to my last class right now and then going to the store so buy macosc snow leopard and lion
72,1,i used to be with blackberry over yrs   after all the disruptions and lost gigs thx to their service i m moving to
73,1,sells   million iphones in   days keep doing what you are doing because you are doing it well httptcozzcbew
74,1,yessss i m lovin the update especially the slide down bar at top of screen   good job
75,1,  millions in a weekend   iphones per second this is madness no this is
76,1,you got me i m now invested pro next year time to get on selling more of my android gear
77,1,iancollinsuk i like what you did there
78,1,i just sent my grandma a post card using my cardsapp thanks
79,1,sorry blackberry i m moving to
80,1,kostatsetsekas putting it in the wash is kind of the equivalent to will it blend glad to hear its still alive
81,1,laundering aris not my finest moment but after drying in bag of organic   rice for   days it booted up
82,1,bravo httptcobgotzjk
83,1,god bless youtube for   appletv   our bad ass system loving princessofchina gb to coldplay   rihanna too
84,1,been off twitter for a few days as i smashed my but were very nice and gave me a new one
85,1,thank you   for email pop up on the lock screen and opening it when unlocking
86,1,one word   wow rt jldavid s first weekend sales top four million httptcozxpwgt via
87,1,this good here will do me very well today thanks to the gods that are
88,1,rt mnnova love easter eggs pull down from middle top to bottom and see what pulls down awesome little feature
89,1,love easter eggs pull down from middle top to bottom and see what pulls down awesome little feature
90,1,love easter eggs pull down from middle top to bottom and see what pulls down awesome little feature lovemyiphone
91,1,updated my and started using cloud services pretty bad ass my gs still the champ
92,1,gone for a run beautiful morning   man do i love  
93,1,your simply the best
94,1,i must admit has made me a very happy camper i have text tones now lol ring tone makemeproud drakes vers text tone nickis
95,1,day i m thankful for the great customer service received today from via phone cs new phone on the way daysofgratefulness
96,1,so to for replacing my phone for free
97,1,loving the new ipod update
98,1,alexlindsay my wife upgraded her   i think alone is worth the upgrade looking forward to continuing to enhance
99,1,rt tomkeene thx instagram thx hypo d trix httptcobppjwncp
100,1,stevejobs being honored tonite applea truly great loss to the worldhe will so be missed
101,1,thx instagram thx hypo d trix httptcodeejhbt
102,1,loving my new iphones thanks for
103,1,i love this so much thank you   httptcouiloezx
104,1,the s is great genius
105,1,cards app notifies me the card i sent has arrived at local post office and should be delivered today sunday truly is magic
106,1,love my new is updates just when i think it ca nt get any better somehow it simplifies my life more that s rightits an
107,1,is amazing
108,1,rygurl you need an iphones with
109,1,meet your new butler click the link and be amazed by all it can do httptcolvffdcel
110,1,so i am using my work pc never ever to get a feel for it it has the worst speakers ever you have spoiled me imamac
111,1,i   httptcoaoniaa
112,1,just got the new upgrade with imessagegood luck surviving now blackberry
113,1,loving   awesome
114,1,rt mattyriesz kathrynyee you were right an is a must have addicted welcome to the club
115,1,thank you for your innovations exhibit a guy playing with facetime instead of watching game at sports bar httptcooukge
116,1,blackberry boo hissapple wuhu when will my berry powered technology actually work
117,1,by far the best ipod and first time ever good job guys
118,1,thank you steve store th av httptconsaisrip
119,1,apples is witchcraft   what s next googleresearch   yr lead lost
120,1,  is sweet notifications phone search covers mail now wifi sync icloud backup and integrated twitter are all well done
121,1,rt katebetts another great james stewart story in todays ny times about importance of architecture in retail success httpt
122,1,another great james stewart story in todays ny times about importance of architecture in retail success httptcoknizs
123,1,i lt httptcoondxwper
124,1,welcome to the twitter world markstuver this is due to and thanks guys
125,1,impressive service genius bar metro centre power cable replaced free n booked in for screen replacement for free   d
126,1,rt deblavoy the nice guy at the store replaced my phone gratis when i showed him the hairline   crack on the screen thanks
127,1,the nice guy at the store replaced my phone gratis when i showed him the hairline   crack on the screen thanks
128,1,my s battery lasted longer than a day that hasnt happened since my edge nice job
129,1,it would have taken me   mins to write this with my blackberry thank u s for converting me and showing me the grass is greener
130,1,rt herahussain rickysinghpt got a new backside for my eye phone v impressed with
131,1,rickysinghpt got a new backside for my eye phone v impressed with
132,1,s in space httptcojinnhvwz this is amazing creative your products inspire people to do unbelievable things
133,1,thank you for making my ipad   feel like new again with your new
134,1,ibertaddigitaltv ipad a briliant stevejobs produck httptcoohflyapple present httptcodbbwsdpx
135,1,using my awsome ipad i love it i love my too and my ipod its all amazing i love
136,1,  upgrade done   much better feature few more feature required
137,1,new   update is the best iloveyou
138,1,finally got my s thanks stupid att learned my lesson
139,1,i absolutely love my s thank you steve and
140,1,  you have invented a product that actually gets my brother to call my parents when he gets where he s going amazing ipods
141,1,dammit listening to is making me want to upgrade well played
142,1,create new folders from within your photo album in finally thanks that s been a thorn in my side for a while newfeature
143,1,video card on kimaris workstation died after just six months so long hp hello
144,1,blackberry   facebook u r really about to make me throw this blackberry in the trash an get an facebook upload issues
145,1,update submitted to thanks for all the support
146,1,awesome service from the store in pc thanks chris
147,1,rt tone thanks for fixing this httptcowtjogdo
148,1,i am crazy about   the photo cropping is the best
149,1,thanks for fixing this httptcowtjogdo
150,1,hell yes got my contacts back   thanks
151,1,rt sawyerhartman i fuking love you this phone is the best thing ever     best thing ever made
152,1,has changed life
153,1,mad props to the employee that did nt charge me to replace the back plate on my made my day
154,1,jonsibley actually the   mouse is pretty sweet man
155,1,the iphones is   amazing siris voice recognition is absolutely a step above previous attempts bravo
156,1,finally got the thanks to sprint getting with the times
157,1,is nice and as it had to be   thanks
158,1,good support fm kevin bellevue store   biz customers ty
159,1,just downloaded   its better than i expected thankyou
160,1,wow i am loving this new update for my touch coolness well done
161,1,is amazing i m in love
162,1,love love love  
163,0,rt cjwallace so apparently put mb cap on your sms with the new update mb storage before it tells you your inbox is full w
164,0,rt jewelz mashable iphones r   expensive most went w htcgalaxy no customer loyalty wphone comp
165,0,mashable iphones r   expensive most went w htcgalaxy no customer loyalty wphone comp
166,0,this is what will kill httptcojwzc rip
167,0,why my tunes no go on my lonely without them silly
168,0,needs to hurry up and release itunesmatch
169,0,why is   always down
170,0,i just need to exchange a cord at the store why do i have to wait for a genius
171,0,airdrop fail   immediate declined your request every time
172,0,good article about why fucked it all up with lion and their future httptcozndpvr fb
173,0,rt radlerc yellowgate some s users complain of yellow tint to screen httptcouaqrxtnk iphones
174,0,yellowgate some s users complain of yellow tint to screen httptcouaqrxtnk iphones
175,0,the one feature still missing since first showed it contacts pictures on the contacts list simple yet   major updates miss
176,0,asked is she dreams of electric sleep was disappointed that she did nt have a snippy answer   missed opportunity
177,0,paulens it surprises me that throws up an error alert about authorizing and there s no authorize this computer button
178,0,lisamarie shhhh the evil sith lords may hear you ha
179,0,fuck you die in a fucking blaze inferno
180,0,oh steve obviously had nothing to do with iphoto as its the perfect opposite of insanely great get it fixed please
181,0,omg why the fuck did you delete all my music you dicks
182,0,ryanbaldwin so in itunes i go store gt authorise why does nt it just autoauthorise it when i sign into itunes grrrr
183,0,seriously   i have absolutely no offing clue what means by authorization nor how to do it
184,0,boy could make it any harder to put my purchased music from the cloud on to my new pro you must authorize this computer
185,0,shit shit shit update ate all my apps data and media just like said it would this is going to take some time to rebuild
186,0,    att u can not tell me there is nt at least   gb s in la or vegas give me a fucking break
187,0,love downloads   hours and ipad now wonky ripstevejobs thenonsensepersists neednewipadguide fatfuckingchance
188,0,dear my new air is now a notbook since your update killed wifi bug destroying productivity
189,0,i am so done with att and s profitering and lack of customer service so fucking down with both
190,0,it would be great if would send my new phone frustrated
191,0,thank you for ruining my gs with you ve just turned my phone into an utterly useless pile of shit
192,0,rogerweir no but i have the option of a   replacement s not sure if i want one after having   duff iphoneso iphones
193,0,so apparently put mb cap on your sms with the new update mb storage before it tells you your inbox is full what is this
194,0,you know its been almost a week since i paid for itunes match i would really like to use it any eta on a fix
195,0,removing all shit
196,0,so phoenixswinger s   is giving her a hella hard time w the update
197,0,what i that sucks hello rt phonedogaaron interesting note   droid razrs battery is nt removable
198,0,ca nt send me an preordered hr after launching but they cans send   or   to all the jackasses who want to shoot or blend em
199,0,got ta say the itouch shuffle etc sound quality is awful painfully crap its been a downgrade from sony sound quality wise
200,0,bisquiat the upgrade just slows down my phone so much its stuck half the time uch thankfully no other damage sucks for you
201,0,mayati i think did nt do such a thorough job with the step x steps for upgrade and move to icloud now its cost me mightily
202,0,hey now i have my does nt include songs that are on compilation albums under the artists name whaddupwitdat
203,0,nickthefnicon he can send but not rcve txts so he has an apt at pmthen he exclaims and i waited a whole year for this phonelmao
204,0,total chaos at store regent street like an ethiopian feeding station ca nt believe this is same co that makes all that cool shit
205,0,fishmama if you made a purchase just wait for the survey hate going bc of the bad custserv
206,0,correction   best buy kudos to chris   alamo ranch sa txfixed issues could nt resolve after   day w att   hero of my day
207,0,phxguy bgr that s why all the ppl who stand in line for hrs to get the newest model are suckers
208,0,would it kill to put a braille type bump on their earbuds so we know which bud is r and l in the dark
209,0,wow motorola just crushed your dreams
210,0,rt phxguy oh just fuck you already gt     on schedule for summer launch httptcoofhptag via bgr
211,0,oh just fuck you already gt     on schedule for summer launch httptcoofhptag via bgr
212,0,no i wo nt wait until thursday for an available appointment just so a genius can tell me i m shit out of luck now
213,0,wtf the new   does nt allow you not to get push notifications from newstand and just keeps yapping fuck
214,0,on the ipad with why has the messages icon been included when it ca nt be used
215,0,steelo yea i preorder through and they sorry too just like att
216,0,interesting now requires you to have a reservation           s       httptcozzkftii
217,0,why is my battery so crappy fail
218,0,my keyboard will not type
219,0,why does nt icloud sync stickies they ve always been around just nothing every progressed w them why why   gruber
220,0,your new save a version function in pages is absolutely the most awful interrupting counterintuitive piece of crap in the world
221,0,i hate my computer   that s   dollars down the drain
222,0,my is charging very slowly
223,0,gm on ipad is very slow wash better on beta solve this problem or give me the ipad
224,0,wish i could pick month day and year when setting a new calendar item on my why hasnt the new fixed this yet
225,0,itunes is the worst program ever for such a great phone you make some awful software
226,0,one would think the voice recognition on the tech support line would work a little better
227,0,  to repair my ipad   you ve lost me and my   a year android here i come
228,0,azeev umber proper consolidation proper syncing stop losing my purchased items checkboxes that do what you think they will do
229,0,asimrang umber the desktop app is wack though
230,0,i made a reservation and yet i still have to wait in line humpt oh   store w   others httptcojzmvbdnm
231,0,frustrated that i bought a new pro from only to find it does nt ship with media expensivepaperweight
232,0,dear i had to turn off all those awesome featured you just enabled data plan ca nt handle it   mb of data just because
233,0,dontbemadatmebecause android is by far better than
234,0,is there a problem with   that is preventing audio apps and audio functions from operating properly i keep losing sound
235,0,one thing i hater about this mouse the buttery finish so fast am not happy now macworld macworld httptcouhavt
236,0,hey stop sending your automaticallydepreciatealliphonesolderthanthes signal my is dying rapidly processorwise
237,0,only thing bad about the new canon camera is that it has two compact flash cards not one of sd sd goes in my computer damn you
238,0,wtf   pages for the new terms   conditions when u update ur apps from the itunes store do u really think well read em really
239,0,fuck u
240,0,oh and prolly ganna be late to work bc has screwed me and my phone has my only alarm on it
241,0,why the fuck dose my phone decide its just ganna freeze every time i try to update it so fucking sick of
242,0,  if u need me just text me o wait u i wo nt get it cuz fucks me every time fuckingpissed
243,0,imessage does nt show the time a message was sent annoying
244,0,like da fuck is this shit   httptconbdhlsg
245,0,rt circustk i m wit chu shaydiddy officially boycotting ups calling to curse them out next for using them wasting my t
246,0,damn it whatchu done to my phone
247,0,samsung seeks s ban in japan and australiapatent war intensifies with injunction sought against httptcoqmwjtvnk
248,0,why is it every time there is software update my ipad goes dead and i need to totally restore fail
249,0,has been nothing but a pain in the ass no room for my music or photos or apps can i undo this garbage
250,0,the reservation system not working shows no products avail let alone s i had the site open in   browsers at   pm and nothing
251,0,rt reddeersteph joelplane i hear you i ve had trouble with my    now   i ve even turned down brightness andshuttingdownru
252,0,joelplane i hear you i ve had trouble with my    now   i ve even turned down brightness andshuttingdownrunningprograms nohelp
253,0,albertmal remember is evil icloud entering the dropbox market
254,0,i know a few others having same issue rt joelplane   now on my second full charge of the day pissed
255,0,  now on my second full charge of the day pissed
256,0,rt shaydiddy circustk ups both of them are bs how do u tell me go between a certain time only and the muh fuh is closed
257,0,i m wit chu shaydiddy officially boycotting ups calling to curse them out next for using them wasting my time
258,0,ugh you re reservation page for the is not working
259,0,itunes is apples worst product worse than the newton or the hockey puck mouse its utterly painful to use
260,0,der icloud i hate u   and i hope you die   you are the worst fucking invention in the world   fuck youuuuuuuuuuuu icloud stevejobs
261,0,i update to   and lose everything on my phone and it wo nt let me sign into my itunes account thanks
262,0,suddenly lost all address book on gs and someone was using my i d it all fucked up
263,0,oh my is overcapacity huh    wo nt let me be great
264,0,issues with updating itunes on my windows pc   they really are not compatible sent more time talking to care than using it
265,0,u guys are gay
266,0,restored my still no texts dear y no love y restrictions on my sms   y no texts iosatemydingo
267,0,none of my apps work after the new from what do i do
268,0,seemingly endless loop of calls to ups verizonwireless to investigate my missing iphones crankywithnophone
269,0,wisconsinmommy that s terrible   i hope you get an apology
270,0,zombiebomber have been on the phone with verizonwireless and pretty much ever since then really annoyed
271,0,chascouponmom i get they are busy w the new phone but i just wanted to buy a stylus they made me wait forever outside   never
272,0,please deliver my daughters is she is driving me nuts
273,0,sprint bestbuy still no word on my iphones preorder   best buy blames sprint sprint blames i just want an honest answer   help
274,0,hey the sms full message is complete shit yes i m annoyed
275,0,have never had such poor customer service at before what happened   store w   others httptcogklxmui
276,0,your service experience is really fucking slipping except for cute eyelash batting girlies   store httptcodohdenmg
277,0,had ma ipas not   hours an i jailbroke itnow its shagged itunes wo nt letme restore it sym
278,0,hailfire irvysan they are then happened and snatched so they could be douchebags and say its ours
279,0,what was thinking making totally dependent on a network connection   att   utter frustration
280,0,wow the genius bar reservation line is ridic right now    i am not amused ugh
281,0,where is my iphoneapple
282,0,battery life suck on
283,0,an update has seemed to render my work machine incapable of opening hdv video thanks zero useful productivity today
284,0,i committed to your cloud storage idisk and now its raining   so soon no more idisk   any plans for a new service for storage
285,0,hey why ca nt i share a reminder list from my iphonealso why ca nt i login to the icloud webpage to modify sharing from my phone
286,0,apparently fuzzball crashes on congratulations on another incompatible upgrade
287,0,could lion please integrate vertical spaces in mission control this horizontal business is making me nauseous
288,0,can someone plz explain to me whhyy is only distributing   phones per day to the sprint stores i m really   httptcouftakf
289,0,gah   opens text messages painfully slow on top of   restore attempts   succeed early adopterness gets better of me
290,0,dear why did all my pdfs and epub files disappear from ibooks in my post upgrade this hurts gs needsomethingtoread
291,0,cbm lies the battery on this new iphones is definitely not any better ltlt check settings   times more app usage in
292,0,as a huge podcast fan   i really feel like dropped the ball on this one httptcowvzprbci via carrypad
293,0,i do nt really like siris voice perhaps can get star wars voices just like garmin httptcopsujgpn
294,0,carlton i really hate dealing with the brain dead people at the store for such good products customer service sucks in nz
295,0,i really hate dealing with the brain dead people at the store for such good products customer service sucks
296,0,you can make photo albums in the photos app with   but ca nt password protect them um fix that quickly
297,0,anyone else seeing missing signal bars on their gs with an upgrade to cc applecanada forstall
298,0,rt cbm lies the battery on this new iphones is definitely not any better
299,0,if you want to know what customers think do nt send updates with the noreply return address who invented that anyway useless
300,0,every time i try the voice control on my ipod touch to send an imessage it starts playing who knew by pink   still not flawless
301,0,should be studying doing work but no i m hold with hurry the fuck up nopatience
302,0,ok hindi keyboard in is something to cheer about   but   what about   support for   missing indian languages fail
303,0,rt scottdugas warning if apps spontaneously loose data it might not be the apps fault   httptcosesvwwm iosdowngrade  
304,0,betweensundays ah yeahshould be an optionhopefully figures that out thx
305,0,waiting for items to copy in itunes after everything did copy goes on and on and on   come on what the hell
306,0,unhappy again with serviceproduct quality wo nt buy again
307,0,lies the battery on this new iphones is definitely not any better
308,0,philipgrey dear why you got ta go change the way ltinput typenumbergt is handled out of the blue
309,0,been on hold with customer service for   minutes wow lts like they re timewarnercable
310,0,anyone else stuck in duped calendarmailbattery sucking hell icloud and osx lion are a disappointment
311,0,for being the inventor of the computer mouse   why is it that has never made one that is not a complete piece of fucking shit
312,0,you re killing me excited about no longer tragic battery drain genius bar wants to replace the battery really
313,0,st impressions   of disappointed w upgrade restore lot of apps   folders missing do   how much time went in orging it fail
314,0,prjusto do nt question the they will remember your dissent
315,0,multiple times is having trouble connecting to the network   needs servers and some exercise
316,0,so my imessage still is nt working
317,0,rt jimmcniel if does not resolve the network issues they will need to rename a great product to sorri   who else is havin
318,0,dear why you got ta go change the way ltinput typenumbergt is handled out of the blue
319,0,ugh wtf is up with all the bottlenecks paypal
320,0,   rt dougnewton please fix she ca nt connect to your network
321,0,please fix she ca nt connect to your network
322,0,if does not resolve the network issues they will need to rename a great product to sorri   who else is having issues
323,0,any chance will release good headphones that do nt blast music outside the ears ipod its quite obnoxious
324,0,  is not working due to network problem seriously can you fix this iphones fail
325,0,trishaps icloud is cloudy tech not very techy
326,0,electricsoup it has to connect to to process commands which it is failing to do right now
327,0,see that what s happen when you release s with same crappy design as the old phone
328,0,this rt bonkoif looks like did not appropriately project the resources needed for not very reliable
329,0,looks like did not appropriately project the resources needed for not very reliable
330,0,spoke to an rep on phone   could hear her tv blaring in the bg   she said i ca nt actually help u just direct u back to the web
331,0,what s wrong with today
332,0,is down
333,0,i m suspecting timed the healthdecline of my   perfectly with the s release my battery is seriously ailing
334,0,on hold for another half hour phone is ringing but no one is picking upapple you stink
335,0,ok this software update for the is taking waaaaay too longannoyed
336,0,would do better to inform customers properly about migrating to icloud   many complaints lead to image damage httptcoqlzmppo
337,0,does   rape your battery life or am i just using my phone a lot since getting it
338,0,jane gazmaz hopefully its a small bug must be fixing it right     itjustworks
339,0,samsung you do realise you re just really pissing off the customer base as well as looking petty
340,0,  why do i have to have apps i am updating in their original folder location that was painful
341,0,domain fail open   hrs late for walk in ppl store was empty and i only need a skin   my screen you represent customer service fail
342,0,brianmincey the chipsets tear through battery life coworker has a htc thunderbolt that he gets about   hours of life
343,0,i wish the updater would stop trying to ram itunes down my throat i do nt own a pissing
344,0,is it me or does my run slower since the   update verizon
345,0,just searching with my voice on my   year old nexus one
346,0,your update server has been timing out for a week i had to force a restore wthe new software lost all my stuff thanks
347,0,appleupdates success stories   ipad now been on phone to   mins ipad   will not wasting my time applereplaceit
348,0,thanks to a   minute wait on hold half an hour actually talking to someone the tech decides to send me an email to fix my phone
349,0,i am very upset about and inconvenienced by this update failed backup
350,0,but seriously finance me a damn phone you greedy bastards or santaget your jolly ass in gear and get us a s   white plz
351,0,my schedule is   busy   spend unquality time with att   recover againthe mo mobile i get the mo immobile i is sync not
352,0,pondering the update from the sounds of mikeferris difficulties i may just hold off   fix it
353,0,twalve you know the issues they have with dst and alarms p
354,0,why book genius bar if after   hours you still ca nt be served disappointing store sydney thanksfornothing
355,0,apparently genius training does nt extend to clocks   service they re half an hour late for my appointment and could nt let me know
356,0,screw you   i ca nt download this crap and i m tired of trying get this problem figured out about my connection timing out
357,0,wow iclouds mail is down st the   upgrade issues and now this i really hope this is nt without steve jobs
358,0,  why do nt you guys test your upgrades before you put them out    hrs u guys wasted of my time yesterday thanks
359,0,what is going on with all my products first my ipad freezes still is frozen and then my wo nt turn on techietroubles
360,0,ipad in perpetual restore loop after trying to upgrade to sux without steve
361,0,nd genius apptment running late nd day in row for nd dodgy ipod   you make mega   hire some staff
362,0,it took about   years just to figure out how to properly syncronize an   wow  
363,0,so i went to the th ave store and was told i could wait about   hours to get a s needless to say i m back at the hotel relaxing
364,0,overall i am a fan of the s however my has issues connecting to the network
365,0,terrible customer service at los gatos why do i have to pay   for a bad home button on my
366,0,thank you for sucking so much i can not believe you would sell something online that is nt made
367,0,having major battery drain issue since updating   to    anyone else appstore
368,0,dear please send me my mac book back surely the repair is done by now thanks
369,0,thanks for   loving having my music breaking up like i m talking on a mobile cell phone bring back functional   iosdonwgrade
370,0,on causes camera apperature dilation problems   freeze
371,0,geolocation suburbs with   words drops map pins in other states please fix
372,0,sorry but imessage will never be what bbm is disappointed
373,0,s does nt work for shit
374,0,clarence thomas must have designed the new osx lion tossing decades of workflow standards bring back save as autosavesucks
375,0,i officially hate fix your damn itunes
376,0,dear your staff at the little rock store answered my first   questions with i do nt know they were nt hard questions
377,0,semilshah yeah except that when you ask for a receipt it takes them   minutes to figure out where it printed out fix that
378,0,rt jdougyj hey do you wanna fix my fucking playlist order you piece of shit
379,0,bummer   my yahoo ipad fantasy football app keeps crashing not sure if its the app or the new   only two apps running
380,0,can suck my dick got ta restore my ipad annoyed
381,0,the line at the is just stupid
382,0,nansen man that sux io upgrade a total fail for you
383,0,dear contacts you are terrible i just cleaned duplicates for   hours and they magically reappeared fix it
384,0,is it too much to ask which app is incompatible httptcoykqipnk
385,0,pissed with whoever designs keyboards with for not having a home and end key   working on the cli i use those keys often
386,0,novatyler most of mine are gone too not recovered after i saved them b i upgraded my soooo pissed
387,0,hey do you wanna fix my fucking playlist order you piece of shit
388,0,is having a hard time remembering who my sister is contact card needs space for family info iphones
389,0,getting sloppy u need to check your qa team too many issues with apps data and syncing
390,0,rt nansen so this sms full message is known issue with new update trying restore when all else fail   restore
391,0,so glad that i paid   for this care protection plan   been on hold for over   minutes now   great customer service not
392,0,not happy with right now the upgrade to my itouch took out my itouch and laptop help
393,0,all i can say about right now is goodriddance   see cancer is nt all bad
394,0,twitter can you look at problem on ipad where it wo nt open   messages it just crashes the app you too maybe your fault
395,0,what s the point of icloud wireless updates when now forces me to use the computer to charge my ipod touch now worstupdateever
396,0,robertterpstra no worries bud ps they re saying that the s is having a lot of network issues right now i m for mac problems
397,0,i hate you for not sending toledooh bestbuy any for verizon even after i pre ordered
398,0,pmphillips if my nonapple equipment broke this often i guess i d need an asus genius bar but it does nt so i do nt
399,0,why is the new os duplicating all my ical events there s   of everything how do i fix it tried turning icloud off
400,0,dear how convenienthandythoughtfulsmart that after update you re apps wo nt work anymore none   grmbl
401,0,hey applei know steve jobs died   all but my twitter for ipad app keeps crashingfix itnowpleaselol flight
402,0,not happy with today i did the suggested software update and now nothing works
403,0,smashed yet another screen when are gon na make the phone more durable tired of fixing it myself
404,0,has one problem when i save someone in my contacts they do nt show his nam becuz of the region  
405,0,i sure as hell better be able to restore my calendar events terrible bug icloud anothericloudfail
406,0,i really hate that wo nt let you hide the newsstand app or move it into a folder it serves no purpose for me
407,0,life was much easier when and blackberry were just fruits
408,0,no location reminders on ipad that was the point of updating to
409,0,comparing office live with google apps and icloud   i do not see icloud leading the crowd do you agree
410,0,rt mikeferri if does nt fix this week i m buying a droid emptythreats
411,0,turns out my computer is nt as fixed as it is meant to be fuck you i m going back to your genius bar to complain annoyed
412,0,if does nt fix this week i m buying a droid emptythreats
413,0,pls launch on   disappointed after spending hours for upgrading to
414,0,you can suck it you and your fucking iphones better be glad its all i like cause the service is fucking terrible
415,0,this is the first time i ve been unhappy with any product disappointed and the internet seems as confused as i am right now
416,0,after a week or so with apples i m considering going back to jailbroken    same features as   plus more not as stable though
417,0,had issues with reaching network today too many uses or my signal
418,0,the new completely failed at upgrading the phone now i m stuck in this restore loop thanks for wasting my day can i undo
419,0,is it me or does iphones run a little warm sometimes
420,0,wtf why can we not add the newsstand to a folder we are already in your walled garden so please do nt remind us of it
421,0,just now seeing none of my microsoft office programs work anymore after lion upgrade why
422,0,dear i do nt want the newsstand icon on my screen notcool
423,0,blackberry does take better quality photos than though i give them that photograherseye
424,0,ok itunesmusic idk wth is up but after syncing my phone my album art is out of order wtf
425,0,i wish could tweet for me   fix that
426,0,i m still waiting for you to deliver my phone to sprint
427,0,i will never purchase another product for the rest of my life i am glad steve jobs is fucking dead may you fucking rot in hell
428,0,thanks to my new imac is a brick i can not reinstall lion and i can not purchase it because it was installed by the former owner
429,0,asked where s baby lisa and was told sorry i m having trouble connecting to the network right now server fail
430,0,only thing has done is deleted my tiger woods game and made impossible to retrieve thanks
431,0,damn you for breaking wififofum it continued to work in   was one of my most used apps damn apples overbearing policies
432,0,yo this update is a disaster
