,0,1
183,Great,1
184,of  ,0
185,But when I check at the turns off a few into the first and then I m lost,0
186,The died in a few,0
187,Any toneOverall good to buyLately they have been extremely nice and helpful on the,1
188,I have had wit hit dropping and more,0
189,Not impressed,0
190,I hardly notice it is there,1
191,You ll love how thin it is,1
192,Bad Choice,0
193,The does nt fit,0
194,useless simply deaf,0
195,The is even prettier than I thought it would be and the are incredibly sharp,1
196,All in all I think it was a good,1
197,It makes very strange before it ends the,0
198,The best of the available FM,1
199,lasts only a few,0
200,great very impressed  ,1
201,The   mega being a of a is reasonably good,1
202,I ve had this for nearly   and it has worked great for me,1
203,Good transmit,1
204,We are sending it back,0
205,I did not bother contacting the for few but I learned the that I should not have bought this online anyway,0
206,If you hate avoid this by all,0
207,Great also,1
208,The is very decent I ve been able to roam around my with the in the with no,1
209,fast,1
210,I would highly recommend this,1
211,I would recommend this,1
212,I also did nt like the on it felt like it would crack with,0
213,WORST EVER,0
214,I m still infatuated with this,1
215,frequently,0
216,Its of embarrassing to use because of how it looks and mostly its embarrassing how childlike the is,0
217,Simple lightweight and great fit,1
218,All in all I d expected a better from Motorola,0
219,There s a horrible in the on all my that I have never experienced before,0
220,These are certainly very comfortable and is decent,1
221,I usually do nt like but this is very lightweight   does nt up my,1
222,I m a disappointed,0
223,I have had this for over a now and I will tell you its not that great,0
224,I ordered this for Ericsson Wi but I think it only worked once that s when I first used it,0
225,The is completely useless to me,0
226,What a big of,0
227,Do nt waste your   on this one,0
228,Great and,1
229,Really pleased with this so far,1
230,One of my favorite ever,1
231,best on the,1
232,Authentic with nice and I recommend you this,1
233,I was very excited to get this because I thought it was really cute,1
234,Do not make the same as me,0
235,Big Disappointment with,0
236,the was unusable and was not new,0
237,Worst Customer Service Ever,0
238,No additional provided and no whatsoever,0
239,It defeats the of a bluetooth,0
240,Worth every,1
241,Excellent,1
242,Nice for the and they work great,1
243,is excrutiatingly slow,0
244,It is very comfortable to wear as well which is probably the most important about using a,1
245,Its like a and is strong secure and durable,1
246,O my gosh the best I have ever had,1
247,Its very attractive and appears to be of good,1
248,I love all the and,1
249,This had a strong that was unbearable after a and caused me to return itpoor and,0
250,The looks so thin and flimsy it is scary,0
251,Great Earpiece,1
252,Excellent free,1
253,Great for using with your,1
254,Good   incredible,1
255,Only had this a but its worked flawlessly so far,1
256,Works great,1
257,Absolutel,0
258,THAT one did nt work either,0
259,Battery is real good,1
260,Returned   later,0
261,Its a great,1
262,Do nt waste your,0
263,Love this,1
264,Not only will it drain your but may also potentially fry it,0
265,Worked perfectly,1
266,Unreliable   I m giving up,0
267,I gave it   because of the,1
268,Avoid this if you can,0
269,Reversible works great,1
270,I wasted my little with this,0
271,Very good,1
272,Best of all is the very helpful,1
273,Comfort for our whole,1
274,Good good,1
275,I love this,1
276,First of all it does nt wear well,0
277,I am very impressed with this from Plantronics,1
278,I got it because it was so small and adorable,1
279,Great,1
280,I would nt recommend buying this,0
281,of,0
282,Poorly,0
283,This is great installed it let it charged up and it has been working every since with no,1
284,Do nt buy it,0
285,,1
286,DO NOT PURCHASE THIS PHONE,0
287,The thru the is excellent,1
288,This is down the best I ve ever had,1
289,Works great when my attacked the he scratched the protective instead of destroying the,1
290,This works and was priced right,1
291,was terrible,0
292,Battery still not long enough in Motorola Razor Vi,0
293,Sending it back,0
294,Now I know that I made a wise,1
295,should ve invented this sooner,1
296,Good,1
297,worked on the first tryThe was certainly engineered in a clever and the feels good,1
298,I received it quickly and it works great,1
299,Has been working great,1
300,As many complained I found this was very weak,0
301,My old Nokia   from Tracfone holds the a better than this,0
302,They do not care about the one,0
303,This is a good and it got here really fast,1
304,The is lacking,0
305,Also its slim enough to fit into my without removing the,1
306,now holds like it did when it was new,1
307,The is unreliable as well as the,0
308,Its uncomfortable and the is quite poor compared with the Razr or with my previous wired that plugged into an LG,0
309,We have gotten a of on it,1
310,This is definitely a must have if your does not allow while driving,1
311,I want my back,0
312,I love this,1
313,I am also very happy with the,1
314,I ordered this first and was unhappy with it immediately,0
315,The Ngage is still lacking in,0
316,I was able to do in the with no,1
317,I have   on my when I am home but you ca nt not hear,0
318,good low,1
319,Howeverthe are not the best and neither are the,0
320,The did not work very well,0
321,AMAZON SUCKS,0
322,Rip off Over,0
323,VERY comfortable,1
324,The is working well as a for the original that came with the over   ago,1
325,The is excellent,1
326,It fits comfortably in either ear the is clear and loud and the lasts a of,1
327,very clear and you do nt have to with the on your iPod since you have the sound on the,1
328,  long lasting you do nt have to recharge it as as some of the,0
329,Obviously there is a with the,0
330,Very disappointing,0
331,It was an inexpensive but I would still have expected better,0
332,It is practically useless and did not add any of to my after I bought it,0
333,Excellent,1
334,Was not happy,0
335,A OF JUNK THAT BROKE AFTER BEING ON MY FOR  ,0
336,New Battery works great in,1
337,Worst,0
338,I ve dropped my more than I can say even on concrete and my is still great on,1
339,is terrible and full of static,0
340,Good,1
341,This little has transformed my organizational and made my a whole easier,1
342,I was sitting in my with the on my and the lost,0
343,Were on the,0
344,Works like a Works as advertised,1
345,Comfortable Nice Range Good Battery Life,1
346,Their in Los Angeles is horrible,0
347,Excellent,0
348,The is great the with the is very   appealing,0
349,The only that I think could improve is the out from the,0
350,First off the sucks I have never had more than   ever,0
351,The gets EXTREMELY HOT,0
352,The also works well but according to I have called it applifies,1
353,Nice and,1
354,Also if your is dropped this is not going to save it specially when dropped face down,0
355,It is easy to use and has very clear and,1
356,bad fit too big,0
357,It definitely was not as good as my,1
358,awesome,1
359,Waste of,0
360,I had ordered a got a very well finished and working,1
361,Love This,1
362,I was looking for this for a long and now that I ve got it I could nt be happier,1
363,Ill be along and my starts ringing for no,0
364,is excellent and is as good as any from that,1
365,Battery is also great,1
366,The worst I ve ever had Only had it for a few,0
367,Not a good,0
368,This is so embarassing and also my hurt if I try to push the plug into my,0
369,Protects the on all,1
370,This is a VERY average with bad that operates on a weak,0
371,Clear Skype Calls Long Battery Life Long Range,1
372,Soyo sucks,0
373,Great Hands Free Device,1
374,you can even take with the outside very cool,1
375,Same as have mentioned,0
376,After trying many many this is the that finally works well,1
377,Magical,1
378,The worst of ever along with the Verizon,0
379,Poor,0
380,The best in,1
381,It worked very well,1
382,The shipped my very promptly and it works well,1
383,Exactly I wanted,1
384,The is far below what other comparablypriced are offering,0
385,This is a great,1
386,Excellent I am very satisfied with the,1
387,I highly recommend these and encourage to give them a,1
388,Better than you d expect,1
389,Using all left or right this will not stay on my,0
390,Great and,1
391,Sounds good reasonably priced and effective Its that simple,1
392,Still Waiting,0
393,what a prompt,1
394,Excellent for the,1
395,Very pleased with this,1
396,do nt waste your and,0
397,I especially love the long,1
398,Its so stupid to have to keep buying new cradles and every a new comes out,0
399,Works great,1
400,Plantronics Bluetooth Excelent Buy,1
401,I came over from Verizon because has nicer the first I noticed was the really bad,0
402,be looking for a new,0
403,I highly recommend this to,1
404,Jawbone is awesome too,1
405,We received a WHITE colored that goes DEAD after a used to last a   but still lasts longer than thereplacementAfter a the went completely dead on my,0
406,I have used several in two but this is the best,1
407,An Awesome New Look For Fall,1
408,This is the first I ve had that has been so cheaply made,0
409,Att is not clear is very distorted and you have to yell when you talk,0
410,The really easy on this,0
411,is good too,1
412,Do nt make the same I did,0
413,Oh and I forgot to also mention the weird it has on your,0
414,I m using it with an SPINN with and it fits fine,1
415,Also the where my broke I m not too fond of the magnetic,0
416,Overall I am psyched to have a which has all my and in and gets great,1
417,every on perfectly she like it,1
418,Another about this is that it really looks rather bland especially in the all black,0
419,ITS REALLY EASY,1
420,My Sanyo has survived of on without ill,1
421,Fantastic,1
422,It finds my right away when I enter the,1
423,Low Quality,0
424,I highly recommend this modest priced cellular,1
425,But it does get better and than any I ve had before,1
426,  Stay away,0
427,I wish I could return the and get back my,0
428,Awsome Device Works Great,1
429,I used to talk on it for      and the would be literally drained and dying,0
430,If you do nt find it too bad as again the comes with one onlyI would not recommend this to,0
431,Very Displeased,0
432,I might have gotten a but I would not risk buying it again because of the built alone,0
433,They made this too small and is very difficult to install,0
434,Restored my to like new,1
435,I would recommend purchasing the Jabra JX   which works flawlessly with my Moto Q go,1
436,I searched the and found this to be the best,1
437,Does not fit,0
438,Very happy with this,1
439,The is big key lit well enough and the is excellent for a,1
440,There s really bad I can say about this,0
441,i m glad i found this on it is hard to find it was nt high priced,1
442,Portable and it works,1
443,My   I now get great receptionA little expensive but is great,1
444,I even fully charged it before I went to and turned off blue and and noticed that it only had    left in the,0
445,I ve also had with the reading the in which I always turn it on and then off again,0
446,Not good when wearing a or,0
447,Timely and,1
448,Nice solid,1
449,Very well made and fits my Surefire GX perfectly,1
450,Horrible,0
451,BT,0
452,We would recommend these to,1
453,Ca nt get the to work with my,0
454,Disappointed,0
455,poor,0
456,The works great,1
457,No on this one,0
458,Very disappointed in AccessoryOne,0
459,I find this inexcusable and so will probably be returning this and perhaps changing,0
460,Looks great and is strong,1
461,I have had TMobile for   or   now and I am pretty happy with it,1
462,The is difficult and cumbersome,0
463,Disappointment,0
464,Great for Motorolas,1
465,The was on,1
466,Very easy to use,1
467,Uncomfortable In the Ear Do nt use with LG VX EnV,0
468,The rocketed out of the to a unknown,0
469,It holds a for a long is reasonably comfortable under longwearing and the of is tremendous,1
470,I d like to return it,0
471,The is really worthwhile in and is sturdy enough I do nt expect any,1
472,however are difficult to understand even though their are simple,0
473,After charging overnight these work great,1
474,You wo nt regret it,1
475,I love this,1
476,A Disappointment,0
477,Its not friendly,0
478,Unfortunately the to actually know you are receiving a is a rather important and this is pitiful in that,0
479,Then I exchanged for the same even that had the same,0
480,This results in the being either stuck at or mute,0
481,This PDA,1
482,It is super charged up for as a small and excels in those,1
483,I would definitely recommend the Jabra BTv for those are looking for and a great,1
484,I had Verizon   ago and really liked their,1
485,of,0
486,Plug was the wrong,0
487,Works as described,1
488,Save your,0
489,Bad Purchase,0
490,WELL IM SATISFIED,1
491,The cancelling is amazing which is very important for a NYC,1
492,This is an excellent,1
493,Defective,0
494,I would have given no if I was able,0
495,I wear and it fits fine with them,1
496,The for the is unacceptableUnless you are in a really quiet you almost hear,0
497,I would not recommend this to,0
498,The that arrived did not match the in the,0
499,at all,1
500,As an earlier noted in this and happens,0
501,This is adorable and very catching,1
502,You never know if you pushed it hard enough or the right of for the you want or not,0
503,The is clear and the I talk to on it are amazed at the too,1
504,I got the for my new Palm VX and it worked really has protected my perfectly so far,1
505,very good well made,1
506,Mobile Phone Tools are a must have,1
507,I am very impressed with the that Motorola did on the of this,1
508,I received my well within the was in good and overall I am very excited to have this,1
509,The is sturdy and waterproof,1
510,I am not impressed with this and i would not recommend this to,0
511,My only is the is a little low even when turned up to of again to Amazon for having the I need for a good,1
512,I ended up sliding it on the of my or back instead,1
513,I had to go to a and bought a new NOKIA which is working great,1
514,Works great,1
515,REALLY UGLY,0
516,horrible had to switch  ,0
517,The is incrediable,1
518,No real,0
519,Razr Battery   Good buy,1
520,Keep up the good Amazon,1
521,They refuse to refund or replace,0
522,Unfortunately its easy to accidentally activate them with the gentletouch if you accidentally touch the to your while listening,0
523,So I basically threw my out the for,0
524,Great and,1
525,All it took was one from about   above the and it was crackedI am not impressed and I am not laughing,0
526,Bluetooth is good   a few ago I left my in the got a and carried the without a,1
527,Small sleek impressive looking practical with ample in,1
528,The channel the directly into your and seem to increase the and,1
529,of the new have ever quite worked properly,0
530,I am glad I purchased it,1
531,I ve missed numerous because of this,0
532,Perhaps my is defective but can not hear me when I use this,0
533,Do nt buy this,0
534,sucked most of the does not work with my,0
535,No shifting no bubbling no not even a NOTHINGI could nt be more happier with my new for the Droid,1
536,Worst ever used,0
537,Trying to make a on these is an in,0
538,The is a flimsy of and has no front or side whatsoever,0
539,I own a Jabra Earset and was very happy with it but the especially outgoing on this is better,1
540,I love the its really pretty good,1
541,Thank you for such great,1
542,Its a,1
543,The is very understanding and patient I would definitely buy from them again,1
544,I give Wirefly   starI will contact CingularATT and inform them of this,0
545,Its AGGRAVATING,0
546,Great for the,1
547,I have purchased these for both and and all enjoy their and of useVirgin Wireless and so does this cheap little,1
548,of it works just do nt buy it,0
549,Muddy low and the around the was poorly super glued and slid off,0
550,Please do nt waste your,0
551,All in all I m quite satisfied with this,1
552,If you are looking for a good Motorola Headset keep looking this is nt it,0
553,Yet Plantronincs continues to use the same flawed,0
554,Disapointing,0
555,Cumbersome,0
556,Great it was new packaged nice works good no and it came in less then I expected,1
557,Great,1
558,Its OF CRAP,0
559,My was terrible,0
560,This fixes all the,1
561,Worst ever,0
562,I am very happyIve had no accessing the downloading or performing any of the,1
563,I can barely ever hear on it and am constantly saying,0
564,The is highly unacceptable,0
565,That is a,0
566,It does the said it would,1
567,Due to this on every I was forced to stop using this,0
568,It works great with a especially if you can not plug in two at the same,1
569,Verizon walked my through a few of which worked and I ended up having to do a hard wiping out all my,0
570,Voice Quality Signal Strength Dropped,0
571,It plays louder than any other of this the is so low that most would think the is lacking however its not,1
572,Better than expected,1
573,It feels poorly constructed the are difficult to navigate and the are so recessed that it is difficult to push them,0
574,is holding up well,1
575,Also difficult to put onId recommend avoiding this,0
576,I only used it two and it was nt always easy to hear with,0
577,I got the and not even after a the was brokenI went to plug it in and it started smoking,0
578,Sprint   terrible,0
579,Linked to my without,1
580,THey are so cool,1
581,Easy to use,1
582,Better Than New,1
583,possesed me to get this I have no of,0
584,A pretty good,1
585,This is a great,1
586,For the on Amazon it is an excellent which I would highly recommend,1
587,Their and Development obviously knows they re doing,1
588,The real is the and of it breaking,0
589,Those are working just fine now,1
590,I am more than happy with this,1
591,Poor Construction,0
592,This is infuriating,0
593,Overall I would recommend this over the new Walkman,1
594,for this,0
595,It is cheap and it feel and look just as cheap,0
596,It fits my well and is comfortable on,1
597,It does nt in Europe or Asia,0
598,clipping this to your will deffinitely make you feel like   upandcoming,1
599,I like and of Jabra behing the and   is pretty comfortible to wear   a without in the,1
600,I was amazed at the quick of the two original and and at a of the,1
601,the worst from this crappy Samsung E is the worst i have ever seeen,0
602,the worked for about a and then completely stopped charging my,0
603,Poor,0
604,However I needed some better,0
605,You need two to operate the screenThis is old and can not compete with new,0
606,Worked very well paired with a Treo and as a Skype on my using a Bluetooth,1
607,clear of this and go with the genuine Palm which come in a,0
608,DO NOT BUY DO NOT BUYIT SUCKSThis is a great sure using your,1
609,Plus I seriously do not believe it is worth its steep,0
610,All the other I ve tried normally fall apart after a few but this seems to be in for the long,1
611,Very Dissapointing,0
612,Do nt make the same that I did and please do nt buy this,0
613,This might well be the worst I ve ever had in any,0
614,was more or less an extra that I originally put on but later discarded because it scratched my,0
615,I recommend to with different in the,1
616,Do nt bother   go to the,0
617,I posted more detailed under the grey or black but i have the Fire Red and its a great,1
618,I did not have any with this and would order it again if needed,1
619,You get you pay for I guess,0
620,Not only did the do a great of this I could also make my own form my existing without an,1
621,i m surprised this is a good and there s not much about it,1
622,These are fabulous,1
623,However BT are currently not good for real like since the messes me up,0
624,I used a free you can find on the to the of the was excellent,1
625,Disappointing from a good,0
626,Performed awful   muffled tinny incoming and severe for those on the other of the,0
627,Very windresistant,1
628,Obviously they have a terrible so you get you pay for,0
629,They do not last forever but is not overly expensive to replaceEasy to operate and the is much better than I have tried,1
630,I contacted the and they told me that although the was still under if I could nt produce my I was out of,0
631,Linksys should have some to exchange a bad for a or,0
632,is sturdy as all are,1
633,Great,1
634,When I placed my into the not only was it NOT snug but there was A of extra on the,0
635,I m pleased,1
636,Battery is terrible,0
637,I found the to be easy to set up and use,1
638,The on this is too large or too heavyit keeps falling out of my,0
639,Utter Sound is TERRIBLE,0
640,The arrived within the promised but it did not work,0
641,No needed its tiny and the is great,1
642,Finally after three or four the of the broke and I could not use it any longer on the,0
643,The handsfree works fine but then the tries to download the and the Treo rebootsOverall I still rate this high,1
644,Talk about USELESS,0
645,It felt too light and tinny,0
646,This does not fit the Palm Tungsten E and it broke the first I tried to plug it in,0
647,I m happy about this good and low,1
648,I love the and of Samsung flipphones,1
649,Its welldesigned and very sharp   the is a very nice,1
650,Does it should and more,1
651,I could not recommend these more,0
652,Nice Sound,1
653,Looks good in the but this was a huge,0
654,Much less than the I was going to replace it with,1
655,Setup went very smoothly,1
656,its extremely slow and takes forever to do with it,0
657,A must study for interested in the worst of industrial,0
658,The first that happened was that the was off,0
659,It is well made easy to access the and has a handy detachable,1
660,Then I had to continue pairing it periodically since it somehow kept dropping,0
661,Ca nt upload from a third,0
662,Bluetooth does not work up just flash up and now it just makes randomly while in my locked,0
663,Truly awful,0
664,It works fine on my Motorola   and a better than the did,1
665,The for the is REAL good you have how loud,1
666,And of the is acceptable,0
667,is AWFUL,0
668,This is clearly not ready for prime I do nt care how cool it looks if you ca nt tell a is coming in its worthless,0
669,I love the because they are so upbeat,1
670,Chinese Abound,0
671,Easy to pair with my Samsung Cell,1
672,The did nt explain that a could be used,0
673,i would advise to not purchase this it never worked very well,0
674,Too bad you have to pay up to   a for the,0
675,Works well,1
676,The CA USB did not work with my,0
677,Clear crisp,1
678,I have to use the smallest provided but it stays on pretty well,1
679,The biggest I have is the drains superfast,0
680,The might be ergonomic in but I could not stand having these in my,0
681,Do NOT buy if you want to use the,0
682,The can also take great and even,1
683,It does nt make you look cool,0
684,Because both are occupied is not distracting at all,1
685,Comfortable   you need your to be comfortable for at least an at a if not for an entire,1
686,Also the does nt seem to accept except CBR preferably ripped by Windows Media Player,0
687,You ca nt beat the on these,1
688,  Comes with a strong that you can use to light up your and even flash SOS seriously,1
689,lightweight and works well,1
690,So just beware,0
691,I love this   it allows me to connect any to my,1
692,So near you will hear of your,0
693,This is cool because most are just open there allowing the to get all scratched up,1
694,I bought this as a for my StarTac and have regretted it since,0
695,to actually outperform the original from China that came with my Vi,1
696,Ca nt store but to SIM,0
697,It lasts less than o if I actually try to use the phoneMy has the same with the same,0
698,Poor,0
699,jabra R the best,1
700,Not worth it,0
701,The crashed completely and now I have to get it replaced,0
702,It quit working after I d used it for about   so I just purchased another because this is the best I ve ever owned,1
703,Unfortunately it will not recharge my iPhone s despite connecting it from multiple iMac external etc,0
704,It was a great,1
705,if you simply want a small   look elsewhere as the extra   are mediocre,0
706,Good works fine   via or,1
707,My does nt slide around my now and the prevents my from slipping out of my,1
708,This is simply the BEST for,1
709,Think it over when you plan to own this oneThis sure is the last MOTO for me,0
710,In the of an I had two exclaim Whoa   is that the new on,1
711,I have always used corded and the from the is very helpful,1
712,This has passed the one and while it shows of it is   functional,1
713,Other than that the is nice and soft the is very tight the out for the is a good,1
714,It has I need and I could nt ask for more,1
715,After receiving and using the for just   it broke,0
716,This is great it makes a easier I can go to the while waiting on for,1
717,of the three they sent with the would stay in my,0
718,has the best anywhere,1
719,Arrived quickly and much less expensive than being sold,1
720,We have tried   and they both failed within   ProsProvides good and looks classy too,1
721,Krussel Always good,1
722,The is friendly and makes it easy etc,1
723,The is very good,1
724,I great all the,1
725,I would highly recommend this,1
726,Could nt use the with not good in Texas,0
727,It dit not work most of the with my Nokia,0
728,Bought mainly for the which broke soon after purchasing,0
729,If you like a loud to override all your then this is for you,0
730,Fantastic and will get again for whatever my next away from this be careful,0
731,This BlueAnt Supertooth is AWESOME,1
732,Does not fit,0
733,,1
734,It is has of and is very confortable to wear for somewhat extended of,1
735,disappointing,0
736,Blue Ant is easy to use,1
737,Cheap but hey it works Was pleasantly suprised given the low of this,1
738,The on the may be used as a when,0
739,Then a few later the a of came out of the while in,0
740,Its very convenient and simple to use   gets done   makes the so much smoother,1
741,The stated itMy was dissapointed,0
742,The is excellent as well,1
743,Its the best I have used,1
744,Would not reccommend,0
745,They have been around for and carries the highest of that I have found to,1
746,Just I wanted,1
747,This particular would not work with my Motorola Q,0
748,wo nt work right or for me,0
749,in it feels looks as if the is all lightweight cheap,0
750,But now that it is out of the same reoccureBottom put your somewhere else Cingular will not support it,0
751,I really wanted the Plantronics   to be the right one but it has too many for meThe goodGreat,1
752,Crisp and Clear,1
753,AFter the first kept going dead after  ,0
754,VERY cheap like an old wooden,0
755,I get absolutely horrible in my where with other I have not had this,0
756,The has been generally good,1
757,Excellent and inconspicuous to boot,1
758,Great,1
759,I highly recommend this,1
760,WORTHWHILE,1
761,This is a great,1
762,After my got to be about a old its been slowly breaking despite much on my,0
763,I am sorry I made this,0
764,I bought these hoping I could make my Bluetooth fit better but these made it impossible to wear,0
765,Treo and TMobile refused to replace it again and forced me to buy another without any of,0
766,It was horrible,0
767,I do nt think it would hold it too securly on your,0
768,This allows the of double for the same and after the first,0
769,They work about   then break,0
770,It is simple to use and I like it,1
771,Its a great for and managementOh be sure to use ActiveSync   for optimal,1
772,I ca nt use this because the is disgusting,0
773,NOT I WANTED,0
774,I own   of these and would order another,1
775,Great,1
776,I bought this with a from Amazon and I m very happy with my,1
777,The was fine it the rare that it worked,0
778,Perfect for the PS,1
779,Five Plus plus,1
780,A good,1
781,  Down the,0
782,I tried talking real loud but shouting on the gets old and I was still told it was nt great,0
783,Good   works fine,1
784,For the this was a great,1
785,Great too,1
786,If there is a it is completely useless,0
787,Yes its shiny on front   and I love it,1
788,Does Not Work,0
789,At first I thought I was grtting a good at   until I plugged it into my Vc Razr,0
790,The through this is excellent,1
791,  thumbs up to this have a Verizon LG and they work well together good and that exceeds   of,1
792,Improper,0
793,  It Works    It is Comfortable,1
